surname,forename,player_name,ssn,season,disam_name
Farrimond,Syd,Syd Farrimond,1973,1973/74,Farrimond
Ferguson,Mark,Mark Ferguson,1981,1981/82,Ferguson
Ferguson,Mark,Mark Ferguson,1982,1982/83,Ferguson
Ferguson,Mark,Mark Ferguson,1983,1983/84,Ferguson
Ferguson,Mark,Mark Ferguson,1984,1984/85,Ferguson
Finlay,Pat,Pat Finlay,1961,1961/62,Finlay
Finney,Ken,Ken Finney,1957,1957/58,Finney
Finney,Ken,Ken Finney,1958,1958/59,Finney
Finney,Ken,Ken Finney,1959,1959/60,Finney
Finney,Ken,Ken Finney,1960,1960/61,Finney
Finney,Ken,Ken Finney,1961,1961/62,Finney
Finney,Ken,Ken Finney,1962,1962/63,Finney
Fishwick,Bert,Bert Fishwick,1930,1930/31,Fishwick
Fishwick,Bert,Bert Fishwick,1931,1931/32,Fishwick
Fishwick,Bert,Bert Fishwick,1932,1932/33,Fishwick
Fishwick,Bert,Bert Fishwick,1933,1933/34,Fishwick
Flanagan,Jack,Jack Flanagan,1926,1926/27,Flanagan
Flanagan,Jack,Jack Flanagan,1927,1927/28,Flanagan
Flanagan,Jack,Jack Flanagan,1928,1928/29,Flanagan
Fleming,Mike,Mike Fleming,1953,1953/54,Fleming
Fleming,Mike,Mike Fleming,1954,1954/55,Fleming
Fleming,Mike,Mike Fleming,1955,1955/56,Fleming
Fleming,Mike,Mike Fleming,1956,1956/57,Fleming
Fleming,Mike,Mike Fleming,1957,1957/58,Fleming
Flood,Eddie,Eddie Flood,1972,1972/73,Flood
Flood,Eddie,Eddie Flood,1973,1973/74,Flood
Flood,Eddie,Eddie Flood,1974,1974/75,Flood
Flood,Eddie,Eddie Flood,1975,1975/76,Flood
Flood,Eddie,Eddie Flood,1976,1976/77,Flood
Flood,Eddie,Eddie Flood,1977,1977/78,Flood
Flood,Eddie,Eddie Flood,1978,1978/79,Flood
Flood,Eddie,Eddie Flood,1979,1979/80,Flood
Flood,Eddie,Eddie Flood,1980,1980/81,Flood
Flowers,George,George Flowers,1937,1937/38,Flowers
Flowers,George,George Flowers,1938,1938/39,Flowers
Fogg,Billy,Billy Fogg,1924,1924/25,Fogg
Fogg,Billy,Billy Fogg,1925,1925/26,Fogg
Ford,John,John Ford,1921,1921/22,Ford
Forshaw,Allen,Allen Forshaw,1921,1921/22,Forshaw
Forshaw,Arthur,Arthur Forshaw,1932,1932/33,Forshaw
Foster,William,William Foster,1936,1936/37,Foster
Fraser,Nathan,Nathan Fraser,1938,1938/39,Fraser
Frith,David,David Frith,1958,1958/59,Frith
Frith,David,David Frith,1959,1959/60,Frith
Frith,David,David Frith,1960,1960/61,Frith
Frith,David,David Frith,1961,1961/62,Frith
Frith,David,David Frith,1962,1962/63,Frith
Frost,Winston,Winston Frost,1936,1936/37,Frost
Frye,John,John Frye,1961,1961/62,Frye
Fulton,David,David Fulton,1921,1921/22,Fulton
Garnett,Shaun,Shaun Garnett,1987,1987/88,Garnett
Garnett,Shaun,Shaun Garnett,1988,1988/89,Garnett
Garnett,Shaun,Shaun Garnett,1989,1989/90,Garnett
Garnett,Shaun,Shaun Garnett,1990,1990/91,Garnett
Garnett,Shaun,Shaun Garnett,1991,1991/92,Garnett
Garnett,Shaun,Shaun Garnett,1992,1992/93,Garnett
Garnett,Shaun,Shaun Garnett,1993,1993/94,Garnett
Garnett,Shaun,Shaun Garnett,1994,1994/95,Garnett
Garnett,Shaun,Shaun Garnett,1995,1995/96,Garnett
Gaskell,Alec,Alec Gaskell,1957,1957/58,Gaskell
Gibson,William,William Gibson,1951,1951/52,Gibson
Gibson,William,William Gibson,1952,1952/53,Gibson
Gibson,William,William Gibson,1953,1953/54,Gibson
Gill,Francis,Francis Gill,1922,1922/23,Gill
Gill,Frank,Frank Gill,1968,1968/69,Gill
Gill,Frank,Frank Gill,1969,1969/70,Gill
Gill,Frank,Frank Gill,1970,1970/71,Gill
Glasper,William,William Glasper,1933,1933/34,Glasper
Glasper,William,William Glasper,1934,1934/35,Glasper
Glennon,Chris,Chris Glennon,1970,1970/71,Glennon
Godwin,Verdi,Verdi Godwin,1956,1956/57,Godwin
Good,John,John Good,1955,1955/56,Good
Goodlass,Ronnie,Ronnie Goodlass,1983,1983/84,Goodlass
Goodlass,Ronnie,Ronnie Goodlass,1984,1984/85,Goodlass
Gorton,Andy,Andy Gorton,1987,1987/88,Gorton
Gould,Harry,Harry Gould,1946,1946/47,Gould
Gould,Harry,Harry Gould,1947,1947/48,Gould
Gould,Harry,Harry Gould,1948,1948/49,Gould
Graham,Bobby,Bobby Graham,1972,1972/73,Graham
Grainger,John,John Grainger,1921,1921/22,Grainger
Gray,Albert,Albert Gray,1931,1931/32,Gray
Gray,Albert,Albert Gray,1932,1932/33,Gray
Gray,Albert,Albert Gray,1933,1933/34,Gray
Gray,Albert,Albert Gray,1934,1934/35,Gray
Gray,Albert,Albert Gray,1935,1935/36,Gray
Gray,Robert,Robert Gray,1927,1927/28,Gray
Gray,Robert,Robert Gray,1928,1928/29,Gray
Green,Johnny,Johnny Green,1958,1958/59,Green
Greenwood,Roy,Roy Greenwood,1983,1983/84,Greenwood
Grierson,Darrell,Darrell Grierson,1986,1986/87,Grierson
Griffiths,Clive,Clive Griffiths,1975,1975/76,Griffiths
Griffiths,Clive,Clive Griffiths,1976,1976/77,Griffiths
Griffiths,David,David Griffiths,1969,1969/70,Griffiths
Griffiths,Ian,Ian Griffiths,1978,1978/79,Griffiths
Griffiths,Ian,Ian Griffiths,1979,1979/80,Griffiths
Griffiths,Ian,Ian Griffiths,1980,1980/81,Griffiths
Griffiths,Ian,Ian Griffiths,1981,1981/82,Griffiths
Griffiths,Ian,Ian Griffiths,1982,1982/83,Griffiths
Griffiths,John,John Griffiths,1936,1936/37,Griffiths
Griffiths,John,John Griffiths,1937,1937/38,Griffiths
Griffiths,John,John Griffiths,1938,1938/39,Griffiths
Griffiths,Joe,Joe Griffiths,1924,1924/25,Griffiths
Groves,Fred,Fred Groves,1921,1921/22,Groves
Gubbins,Ralph,Ralph Gubbins,1960,1960/61,Gubbins
Gubbins,Ralph,Ralph Gubbins,1961,1961/62,Gubbins
Gubbins,Ralph,Ralph Gubbins,1962,1962/63,Gubbins
Gubbins,Ralph,Ralph Gubbins,1963,1963/64,Gubbins
Gwatkin,Phil,Phil Gwatkin,1956,1956/57,Gwatkin
Hagan,Alf,Alf Hagan,1926,1926/27,Hagan
Hall,Tony,Tony Hall,1987,1987/88,Hall
Halstead,Fred,Fred Halstead,1922,1922/23,Halstead
Halstead,Fred,Fred Halstead,1923,1923/24,Halstead
Halstead,Fred,Fred Halstead,1924,1924/25,Halstead
Hamilton,Bryan,Bryan Hamilton,1980,1980/81,Hamilton
Hamilton,Bryan,Bryan Hamilton,1981,1981/82,Hamilton
Hamilton,Bryan,Bryan Hamilton,1982,1982/83,Hamilton
Hamilton,Bryan,Bryan Hamilton,1983,1983/84,Hamilton
Hamilton,Bryan,Bryan Hamilton,1984,1984/85,Hamilton
Hamilton,Duke,Duke Hamilton,1937,1937/38,Hamilton
Hamilton,Duke,Duke Hamilton,1938,1938/39,Hamilton
Harlock,Des,Des Harlock,1946,1946/47,Harlock
Harlock,Des,Des Harlock,1947,1947/48,Harlock
Harlock,Des,Des Harlock,1948,1948/49,Harlock
Harlock,Des,Des Harlock,1949,1949/50,Harlock
Harlock,Des,Des Harlock,1950,1950/51,Harlock
Harlock,Des,Des Harlock,1951,1951/52,Harlock
Harlock,Des,Des Harlock,1952,1952/53,Harlock
Harlock,Des,Des Harlock,1953,1953/54,Harlock
Harris,Albert,Albert Harris,1957,1957/58,Harris
Harris,Albert,Albert Harris,1958,1958/59,Harris
Harris,Albert,Albert Harris,1959,1959/60,Harris
Harris,Jimmy,Jimmy Harris,1966,1966/67,Harris
Harrop,Bobby,Bobby Harrop,1959,1959/60,Harrop
Harrop,Bobby,Bobby Harrop,1960,1960/61,Harrop
Harvey,Jimmy,Jimmy Harvey,1987,1987/88,Harvey
Harvey,Jimmy,Jimmy Harvey,1988,1988/89,Harvey
Harvey,Jimmy,Jimmy Harvey,1989,1989/90,Harvey
Harvey,Jimmy,Jimmy Harvey,1990,1990/91,Harvey
Harvey,Jimmy,Jimmy Harvey,1991,1991/92,Harvey
Hawarden,Andrew,Andrew Hawarden,1922,1922/23,Hawarden
Hawarden,Andrew,Andrew Hawarden,1923,1923/24,Hawarden
Hay,Alan,Alan Hay,1986,1986/87,Hay
Hayes,Charlie,Charlie Hayes,1921,1921/22,Hayes C
Hayes,Charlie,Charlie Hayes,1922,1922/23,Hayes C
Hayes,Charlie,Charlie Hayes,1923,1923/24,Hayes C
Hayes,Fred,Fred Hayes,1922,1922/23,Hayes F
Hayes,Fred,Fred Hayes,1923,1923/24,Hayes F
Hayes,John,John Hayes,1923,1923/24,Hayes J
Heap,Stuart,Stuart Heap,1984,1984/85,Heap
Heath,John,John Heath,1961,1961/62,Heath
Heath,John,John Heath,1962,1962/63,Heath
Heath,John,John Heath,1963,1963/64,Heath
Heath,Seamus,Seamus Heath,1984,1984/85,Heath
Henshaw,Ernie,Ernie Henshaw,1931,1931/32,Henshaw
Heslop,Tom,Tom Heslop,1921,1921/22,Heslop
Heydon,Jackie,Jackie Heydon,1956,1956/57,Heydon
Heydon,Jackie,Jackie Heydon,1957,1957/58,Heydon
Heydon,Jackie,Jackie Heydon,1958,1958/59,Heydon
Heydon,Jackie,Jackie Heydon,1959,1959/60,Heydon
Heydon,Jackie,Jackie Heydon,1960,1960/61,Heydon
Heywood,Bert,Bert Heywood,1934,1934/35,Heywood
Hickson,Dave,Dave Hickson,1962,1962/63,Hickson
Hickson,Dave,Dave Hickson,1963,1963/64,Hickson
Higgins,Dave,Dave Higgins,1983,1983/84,Higgins
Higgins,Dave,Dave Higgins,1984,1984/85,Higgins
Higgins,Dave,Dave Higgins,1987,1987/88,Higgins
Higgins,Dave,Dave Higgins,1988,1988/89,Higgins
Higgins,Dave,Dave Higgins,1989,1989/90,Higgins
Higgins,Dave,Dave Higgins,1990,1990/91,Higgins
Higgins,Dave,Dave Higgins,1991,1991/92,Higgins
Higgins,Dave,Dave Higgins,1992,1992/93,Higgins
Higgins,Dave,Dave Higgins,1993,1993/94,Higgins
Higgins,Dave,Dave Higgins,1994,1994/95,Higgins
Higgins,Dave,Dave Higgins,1995,1995/96,Higgins
Higgins,Dave,Dave Higgins,1996,1996/97,Higgins
Hilditch,Mark,Mark Hilditch,1983,1983/84,Hilditch
Hilditch,Mark,Mark Hilditch,1984,1984/85,Hilditch
Hilditch,Mark,Mark Hilditch,1985,1985/86,Hilditch
Hill,Alan,Alan Hill,1956,1956/57,Hill
Hill,Mandy,Mandy Hill,1964,1964/65,Hill
Hill,Mandy,Mandy Hill,1965,1965/66,Hill
Hill,Mandy,Mandy Hill,1966,1966/67,Hill
Hill,Mandy,Mandy Hill,1967,1967/68,Hill
Hill,Reginald,Reginald Hill,1932,1932/33,Hill
Hilton,Harold,Harold Hilton,1921,1921/22,Hilton
Hilton,Harold,Harold Hilton,1922,1922/23,Hilton
Hilton,Harold,Harold Hilton,1923,1923/24,Hilton
Hinch,Jimmy,Jimmy Hinch,1969,1969/70,Hinch
Hinch,Jimmy,Jimmy Hinch,1970,1970/71,Hinch
Hodgson,Laurie,Laurie Hodgson,1946,1946/47,Hodgson
Hodgson,Laurie,Laurie Hodgson,1947,1947/48,Hodgson
Hodgson,Laurie,Laurie Hodgson,1948,1948/49,Hodgson
Hodgson,Laurie,Laurie Hodgson,1949,1949/50,Hodgson
Hodgson,Laurie,Laurie Hodgson,1950,1950/51,Hodgson
Holder,Alan,Alan Holder,1956,1956/57,Holder
Hollifield,Mike,Mike Hollifield,1985,1985/86,Hollifield
Hood,Jackie,Jackie Hood,1959,1959/60,Hood
Hopkinson,Samuel,Samuel Hopkinson,1935,1935/36,Hopkinson
Hornby,Eric,Eric Hornby,1945,1945/46,Hornby
Hornby,Eric,Eric Hornby,1946,1946/47,Hornby
Hornby,Eric,Eric Hornby,1947,1947/48,Hornby
Hornby,Eric,Eric Hornby,1948,1948/49,Hornby
Horwood,Neil,Neil Horwood,1986,1986/87,Horwood
Hudson,George,George Hudson,1966,1966/67,Hudson
Hudson,George,George Hudson,1967,1967/68,Hudson
Hudson,George,George Hudson,1968,1968/69,Hudson
Hughes,David,David Hughes,1962,1962/63,Hughes
Hughes,Mark,Mark Hughes,1985,1985/86,Hughes
Hughes,Mark,Mark Hughes,1986,1986/87,Hughes
Hughes,Mark,Mark Hughes,1987,1987/88,Hughes
Hughes,Mark,Mark Hughes,1988,1988/89,Hughes
Hughes,Mark,Mark Hughes,1989,1989/90,Hughes
Hughes,Mark,Mark Hughes,1990,1990/91,Hughes
Hughes,Mark,Mark Hughes,1991,1991/92,Hughes
Hughes,Mark,Mark Hughes,1992,1992/93,Hughes
Hughes,Mark,Mark Hughes,1993,1993/94,Hughes
Hughes,Thomas,Thomas Hughes,1921,1921/22,Hughes
Hunt,Robert,Robert Hunt,1933,1933/34,Hunt
Hutchinson,Bobby,Bobby Hutchinson,1981,1981/82,Hutchinson
Hutchinson,Bobby,Bobby Hutchinson,1982,1982/83,Hutchinson
Hutchinson,Bobby,Bobby Hutchinson,1983,1983/84,Hutchinson
Hyam,James,James Hyam,1921,1921/22,Hyam
Iceton,Lloyd,Lloyd Iceton,1950,1950/51,Iceton
Iceton,Lloyd,Lloyd Iceton,1951,1951/52,Iceton
Iceton,Lloyd,Lloyd Iceton,1952,1952/53,Iceton
Iceton,Lloyd,Lloyd Iceton,1953,1953/54,Iceton
Iceton,Lloyd,Lloyd Iceton,1954,1954/55,Iceton
Imlach,Mike,Mike Imlach,1984,1984/85,Imlach
Irons,Kenny,Kenny Irons,1989,1989/90,Irons
Irons,Kenny,Kenny Irons,1990,1990/91,Irons
Irons,Kenny,Kenny Irons,1991,1991/92,Irons
Irons,Kenny,Kenny Irons,1992,1992/93,Irons
Irons,Kenny,Kenny Irons,1993,1993/94,Irons
Irons,Kenny,Kenny Irons,1994,1994/95,Irons
Irons,Kenny,Kenny Irons,1995,1995/96,Irons
Irons,Kenny,Kenny Irons,1996,1996/97,Irons
Jack,Andrew,Andrew Jack,1948,1948/49,Jack
Jackson,Archie,Archie Jackson,1928,1928/29,Jackson A
Jackson,Archie,Archie Jackson,1929,1929/30,Jackson A
Jackson,David,David Jackson,1961,1961/62,Jackson D
Jackson,David,David Jackson,1962,1962/63,Jackson D
Jackson,George,George Jackson,1923,1923/24,Jackson G
Jackson,George,George Jackson,1924,1924/25,Jackson G
Jackson,George,George Jackson,1925,1925/26,Jackson G
Jackson,George,George Jackson,1926,1926/27,Jackson G
Jackson,George,George Jackson,1927,1927/28,Jackson G
Jackson,George,George Jackson,1928,1928/29,Jackson G
Jackson,George,George Jackson,1929,1929/30,Jackson G
Jackson,Jimmy,Jimmy Jackson,1924,1924/25,Jackson J
Jackson,Peter,Peter Jackson,1961,1961/62,Jackson P
Jackson,Peter,Peter Jackson,1962,1962/63,Jackson P
Jackson,Peter,Peter Jackson,1963,1963/64,Jackson P
Jackson,Peter,Peter Jackson,1964,1964/65,Jackson P
Jackson,Pat,Pat Jackson,1951,1951/52,Jackson
Jackson,Pat,Pat Jackson,1952,1952/53,Jackson
Jackson,Pat,Pat Jackson,1953,1953/54,Jackson
Jackson,William,William Jackson,1936,1936/37,Jackson
James,John,John James,1975,1975/76,James
James,John,John James,1976,1976/77,James
James,John,John James,1977,1977/78,James
Jeffes,Albert,Albert Jeffes,1924,1924/25,Jeffes
Johnson,Brian,Brian Johnson,1968,1968/69,Johnson
Johnson,David,David Johnson,1974,1974/75,Johnson D
Johnson,Dickie,Dickie Johnson,1971,1971/72,Johnson
Johnson,Dickie,Dickie Johnson,1972,1972/73,Johnson
Johnson,Dickie,Dickie Johnson,1973,1973/74,Johnson
Johnson,Dickie,Dickie Johnson,1974,1974/75,Johnson R
Johnson,Dickie,Dickie Johnson,1975,1975/76,Johnson
Johnson,Dickie,Dickie Johnson,1976,1976/77,Johnson
Johnson,Dickie,Dickie Johnson,1977,1977/78,Johnson
Johnson,Dickie,Dickie Johnson,1978,1978/79,Johnson
Johnson,Dickie,Dickie Johnson,1979,1979/80,Johnson
Johnson,Dickie,Dickie Johnson,1980,1980/81,Johnson
Johnson,Dickie,Dickie Johnson,1981,1981/82,Johnson
Johnson,John,John Johnson,1925,1925/26,Johnson
Johnstone,Robert,Robert Johnstone,1946,1946/47,Johnstone
Johnstone,Robert,Robert Johnstone,1947,1947/48,Johnstone
Jolley,Charlie,Charlie Jolley,1953,1953/54,Jolley
Jolley,Charlie,Charlie Jolley,1954,1954/55,Jolley
Jones,Benny,Benny Jones,1945,1945/46,Jones TB
Jones,Benny,Benny Jones,1946,1946/47,Jones
Jones,Benny,Benny Jones,1947,1947/48,Jones
Jones,Derek,Derek Jones,1953,1953/54,Jones
Jones,Derek,Derek Jones,1954,1954/55,Jones
Jones,Derek,Derek Jones,1955,1955/56,Jones
Jones,Derek,Derek Jones,1956,1956/57,Jones
Jones,Derek,Derek Jones,1957,1957/58,Jones
Jones,Derek,Derek Jones,1958,1958/59,Jones
Jones,Derek,Derek Jones,1959,1959/60,Jones
Jones,Derek,Derek Jones,1960,1960/61,Jones
Jones,Gary,Gary Jones,1993,1993/94,Jones G
Jones,Gary,Gary Jones,1994,1994/95,Jones G
Jones,Gary,Gary Jones,1995,1995/96,Jones G
Jones,Gary,Gary Jones,1996,1996/97,Jones G
Jones,Gwyn,Gwyn Jones,1938,1938/39,Jones
Jones,Lee,Lee Jones,1996,1996/97,Jones L
Jones,Les,Les Jones,1962,1962/63,Jones
Jones,Les,Les Jones,1963,1963/64,Jones
Jones,Les,Les Jones,1964,1964/65,Jones
Jones,Martin,Martin Jones,1993,1993/94,Jones M
Jones,Ossie,Ossie Jones,1936,1936/37,Jones
Jones,Ossie,Ossie Jones,1937,1937/38,Jones
Jones,Robert,Robert Jones,1932,1932/33,Jones
Jones,Tommy,Tommy Jones,1926,1926/27,Jones
Jones,Tommy,Tommy Jones,1927,1927/28,Jones
Jones,Tommy,Tommy Jones,1928,1928/29,Jones
Joy,Brian,Brian Joy,1970,1970/71,Joy
Kearney,Sidney,Sidney Kearney,1937,1937/38,Kearney
Kearney,Sidney,Sidney Kearney,1938,1938/39,Kearney
Kearns,Jack,Jack Kearns,1938,1938/39,Kearns
Kelly,Charles,Charles Kelly,1927,1927/28,Kelly
Kelly,John,John Kelly,1979,1979/80,Kelly
Kelly,John,John Kelly,1980,1980/81,Kelly
Kelly,John,John Kelly,1981,1981/82,Kelly
Kelly,Noel,Noel Kelly,1955,1955/56,Kelly
Kelly,Noel,Noel Kelly,1956,1956/57,Kelly
Kelly,Robert,Robert Kelly,1984,1984/85,Kelly
Kennedy,Andy,Andy Kennedy,1930,1930/31,Kennedy A
Kennedy,David,David Kennedy,1967,1967/68,Kennedy
Kennedy,David,David Kennedy,1968,1968/69,Kennedy
Kennedy,David,David Kennedy,1969,1969/70,Kennedy
Kennedy,Jack,Jack Kennedy,1930,1930/31,Kennedy J
Kennedy,Jack,Jack Kennedy,1931,1931/32,Kennedy J
Kenny,Billy,Billy Kenny,1974,1974/75,Kenny
Kenny,Billy,Billy Kenny,1975,1975/76,Kenny
Kenny,Billy,Billy Kenny,1976,1976/77,Kenny
Kenworthy,Jon,Jon Kenworthy,1993,1993/94,Kenworthy
Kenworthy,Jon,Jon Kenworthy,1994,1994/95,Kenworthy
Kenworthy,Jon,Jon Kenworthy,1995,1995/96,Kenworthy
Kerr,John,John Kerr,1978,1978/79,Kerr
Kerr,John,John Kerr,1979,1979/80,Kerr
Kerr,John,John Kerr,1980,1980/81,Kerr
Kerr,John,John Kerr,1981,1981/82,Kerr
Kerr,John,John Kerr,1982,1982/83,Kerr
Kidd,Jackie,Jackie Kidd,1955,1955/56,Kidd
Kidd,Jackie,Jackie Kidd,1956,1956/57,Kidd
Kidd,Jackie,Jackie Kidd,1957,1957/58,Kidd
Kidd,Jackie,Jackie Kidd,1958,1958/59,Kidd
Kieran,Len,Len Kieran,1947,1947/48,Kieran
Kieran,Len,Len Kieran,1948,1948/49,Kieran
Kieran,Len,Len Kieran,1949,1949/50,Kieran
Kieran,Len,Len Kieran,1950,1950/51,Kieran
Kieran,Len,Len Kieran,1951,1951/52,Kieran
Kieran,Len,Len Kieran,1952,1952/53,Kieran
Kieran,Len,Len Kieran,1953,1953/54,Kieran
Kieran,Len,Len Kieran,1954,1954/55,Kieran
Kieran,Len,Len Kieran,1955,1955/56,Kieran
Kieran,Len,Len Kieran,1956,1956/57,Kieran
Kimberley,John,John Kimberley,1922,1922/23,Kimberley
King,Alan,Alan King,1962,1962/63,King A
King,Alan,Alan King,1963,1963/64,King A
King,Alan,Alan King,1964,1964/65,King A
King,Alan,Alan King,1965,1965/66,King A
King,Alan,Alan King,1966,1966/67,King A
King,Alan,Alan King,1967,1967/68,King A
King,Alan,Alan King,1968,1968/69,King A
King,Alan,Alan King,1969,1969/70,King A
King,Alan,Alan King,1970,1970/71,King A
King,Alan,Alan King,1971,1971/72,King A
King,Herbert,Herbert King,1937,1937/38,King
King,Johnny,Johnny King,1960,1960/61,King J
King,Johnny,Johnny King,1961,1961/62,King J
King,Johnny,Johnny King,1962,1962/63,King J
King,Johnny,Johnny King,1963,1963/64,King J
King,Johnny,Johnny King,1964,1964/65,King J
King,Johnny,Johnny King,1965,1965/66,King J
King,Johnny,Johnny King,1966,1966/67,King J
King,Johnny,Johnny King,1967,1967/68,King J
Kinsella,Pat,Pat Kinsella,1966,1966/67,Kinsella
Kitching,Harry,Harry Kitching,1931,1931/32,Kitching
Knapp,Tony,Tony Knapp,1969,1969/70,Knapp
Knapp,Tony,Tony Knapp,1970,1970/71,Knapp
Lamb,Harry,Harry Lamb,1945,1945/46,Lamb
Lamb,Harry,Harry Lamb,1946,1946/47,Lamb
Lamb,Harry,Harry Lamb,1947,1947/48,Lamb
Lamb,Harry,Harry Lamb,1948,1948/49,Lamb
Lamb,Harry,Harry Lamb,1949,1949/50,Lamb
Lamb,Harry,Harry Lamb,1950,1950/51,Lamb
Lamb,Harry,Harry Lamb,1951,1951/52,Lamb
Lamb,Harry,Harry Lamb,1952,1952/53,Lamb
Lamont,Bill,Bill Lamont,1951,1951/52,Lamont
Lamont,Bill,Bill Lamont,1952,1952/53,Lamont
Lamont,Bill,Bill Lamont,1953,1953/54,Lamont
Lamont,Bill,Bill Lamont,1954,1954/55,Lamont
Lamont,Bill,Bill Lamont,1955,1955/56,Lamont
Lancaster,Des,Des Lancaster,1959,1959/60,Lancaster
Lane,Frankie,Frankie Lane,1969,1969/70,Lane
Lane,Frankie,Frankie Lane,1970,1970/71,Lane
Lane,Frankie,Frankie Lane,1971,1971/72,Lane
Lawrence,Tommy,Tommy Lawrence,1971,1971/72,Lawrence
Lawrence,Tommy,Tommy Lawrence,1972,1972/73,Lawrence
Lawrence,Tommy,Tommy Lawrence,1973,1973/74,Lawrence
Le Cornu,Craig,Craig Le Cornu,1980,1980/81,Le Cornu
Leary,Rex,Rex Leary,1922,1922/23,Leary
Leary,Rex,Rex Leary,1923,1923/24,Leary
Lee,Andy,Andy Lee,1984,1984/85,Lee
Leeming,Cliff,Cliff Leeming,1947,1947/48,Leeming
Leonard,Mark,Mark Leonard,1982,1982/83,Leonard
Leslie,Alex,Alex Leslie,1925,1925/26,Leslie
Lewins,George,George Lewins,1930,1930/31,Lewins
Lewins,George,George Lewins,1931,1931/32,Lewins
Lewis,Cyril,Cyril Lewis,1932,1932/33,Lewis C
Lewis,Ginger,Ginger Lewis,1925,1925/26,Lewis
Lewis,Ginger,Ginger Lewis,1926,1926/27,Lewis
Lewis,Ginger,Ginger Lewis,1927,1927/28,Lewis
Lewis,Ginger,Ginger Lewis,1928,1928/29,Lewis
Lewis,Ginger,Ginger Lewis,1929,1929/30,Lewis
Lewis,Ginger,Ginger Lewis,1930,1930/31,Lewis
Lewis,Ginger,Ginger Lewis,1931,1931/32,Lewis
Lewis,Ginger,Ginger Lewis,1932,1932/33,Lewis J
Lewis,Ginger,Ginger Lewis,1933,1933/34,Lewis
Lewis,Joseph,Joseph Lewis,1923,1923/24,Lewis Jos
Lewis,Joseph,Joseph Lewis,1924,1924/25,Lewis Jos
Lewis,Norman,Norman Lewis,1936,1936/37,Lewis
Lewis,Norman,Norman Lewis,1937,1937/38,Lewis
Lewis,Norman,Norman Lewis,1938,1938/39,Lewis
Leyland,Harry,Harry Leyland,1960,1960/61,Leyland
Leyland,Harry,Harry Leyland,1961,1961/62,Leyland
Leyland,Harry,Harry Leyland,1962,1962/63,Leyland
Leyland,Harry,Harry Leyland,1963,1963/64,Leyland
Leyland,Harry,Harry Leyland,1964,1964/65,Leyland
Leyland,Harry,Harry Leyland,1965,1965/66,Leyland
Leyland,Harry,Harry Leyland,1966,1966/67,Leyland
Littlehales,Harry,Harry Littlehales,1923,1923/24,Littlehales
Littlehales,Harry,Harry Littlehales,1924,1924/25,Littlehales
Littlehales,Harry,Harry Littlehales,1925,1925/26,Littlehales
Littlehales,Harry,Harry Littlehales,1926,1926/27,Littlehales
Littlehales,Harry,Harry Littlehales,1927,1927/28,Littlehales
Littlehales,Harry,Harry Littlehales,1928,1928/29,Littlehales
Littlehales,Harry,Harry Littlehales,1929,1929/30,Littlehales
Littlehales,Harry,Harry Littlehales,1930,1930/31,Littlehales
Littlehales,Harry,Harry Littlehales,1931,1931/32,Littlehales
Livingstone,Duggie,Duggie Livingstone,1930,1930/31,Livingstone
Livingstone,Duggie,Duggie Livingstone,1931,1931/32,Livingstone
Livingstone,Duggie,Duggie Livingstone,1932,1932/33,Livingstone
Lloyd,Evan,Evan Lloyd,1921,1921/22,Lloyd
Lloyd,Harold,Harold Lloyd,1945,1945/46,Lloyd
Lloyd,Harold,Harold Lloyd,1946,1946/47,Lloyd
Lloyd,Harold,Harold Lloyd,1947,1947/48,Lloyd
Lloyd,Harold,Harold Lloyd,1948,1948/49,Lloyd
Lloyd,Harold,Harold Lloyd,1949,1949/50,Lloyd
Lloyd,Harold,Harold Lloyd,1950,1950/51,Lloyd
Lloyd,Harold,Harold Lloyd,1951,1951/52,Lloyd
Lloyd,Harold,Harold Lloyd,1952,1952/53,Lloyd
Lloyd,Harold,Harold Lloyd,1953,1953/54,Lloyd
Lloyd,Harold,Harold Lloyd,1954,1954/55,Lloyd
Lloyd,Harold,Harold Lloyd,1955,1955/56,Lloyd
Lloyd,Harold,Harold Lloyd,1956,1956/57,Lloyd
Lomax,John,John Lomax,1922,1922/23,Lomax
Lorenson,Roy,Roy Lorenson,1960,1960/61,Lorenson
Lorenson,Roy,Roy Lorenson,1961,1961/62,Lorenson
Lornie,Jack,Jack Lornie,1964,1964/65,Lornie
Lornie,Jack,Jack Lornie,1965,1965/66,Lornie
Loyden,Eddie,Eddie Loyden,1972,1972/73,Loyden
Loyden,Eddie,Eddie Loyden,1973,1973/74,Loyden
Lumby,Jim,Jim Lumby,1979,1979/80,Lumby
Lumby,Jim,Jim Lumby,1980,1980/81,Lumby
MacDonald,John,John MacDonald,1949,1949/50,MacDonald
MacDonald,John,John MacDonald,1950,1950/51,MacDonald
MacDonald,John,John MacDonald,1951,1951/52,MacDonald
MacDonald,Willie,Willie MacDonald,1934,1934/35,MacDonald
MacDonald,Willie,Willie MacDonald,1935,1935/36,MacDonald
MacNamee,John,John MacNamee,1967,1967/68,MacNamee
MacNamee,John,John MacNamee,1968,1968/69,MacNamee
MacNamee,John,John MacNamee,1969,1969/70,MacNamee
Mackay,William,William Mackay,1933,1933/34,Mackay
Maddocks,Emlyn,Emlyn Maddocks,1936,1936/37,Maddocks
Maher,Aiden,Aiden Maher,1971,1971/72,Maher
