surname,forename,date_of_birth,dob,dob_qtr,dob_yr,dob_yr_is_est,page,period
McDonnell, Charlie,15-Jul-36,1936-07-15,3,1936,0,105,1
McDonnell, Charlie,15-Jul-36,1936-07-15,3,1936,0,105,2
McFarland,Roy,05-Apr-48,1948-04-05,2,1948,0,105,1
McGrae,Joe,24-Oct-03,1903-10-24,4,1903,0,105,1
McGreal,John,02-Jun-72,1972-06-02,2,1972,0,105,1
McGugan,Jackie,12-Jun-39,1939-06-12,2,1939,0,105,1
McGuire,Reg,24-Aug-59,1959-08-24,3,1959,0,105,1
McKay,James,11-Jun-18,1918-06-11,2,1918,0,105,1
McKenna, Kenny,02-Jul-60,1960-07-02,3,1960,0,105,1
McKenna, Kenny,02-Jul-60,1960-07-02,3,1960,0,105,2
McLaren,Hugh,13-Jan-01,1901-01-13,1,1901,0,105,1
McLellan,Alistair,16-Apr-22,1922-04-16,2,1922,0,105,1
McMahon,John,07-Dec-49,1949-12-07,4,1949,0,105,1
McManus,Eric,14-Nov-50,1950-11-14,4,1950,0,105,1
McMullen,Tan,17-Nov-65,1965-11-17,4,1965,0,105,1
McMurray,Tom,24-Jul-11,1911-07-24,3,1911,0,105,1
McNab,Neil,04-Jun-57,1957-06-04,2,1957,0,105,1
McNamara,Dennis,08-Mar-35,1935-03-08,1,1935,0,105,1
McVicar,Don,06-Nov-62,1962-11-06,4,1962,0,105,1
Naylor,Tommy,NA,NA,NA,NA,0,105,1
Neill,Tommy,03-Oct-30,1930-10-03,4,1930,0,105,1
Nevin, Pat,06-Sep-63,1963-09-06,3,1963,0,105,1
Nevin, Pat,06-Sep-63,1963-09-06,3,1963,0,105,2
Newton,Percy,NA,NA,NA,NA,0,105,1
Nightingale,David,15-Aug-27,1927-08-15,3,1927,0,105,1
Niven,James,08-Sep-97,1897-09-08,3,1897,0,106,1
Nixon, Eric,04-Oct-62,1962-10-04,4,1962,0,106,1
Nixon, Eric,04-Oct-62,1962-10-04,4,1962,0,106,2
Nolan,Ian,09-Jul-70,1970-07-09,3,1970,0,106,1
O'Brien,Liam,05-Sep-64,1964-09-05,3,1964,0,106,1
O'Connor,John,NA,NA,NA,1903,0,106,1
O'Neil,Tommy,25-Oct-52,1952-10-25,4,1952,0,106,1
O'Rourke, Billy,02-Apr-60,1960-04-02,2,1960,0,106,1
O'Rourke, Billy,02-Apr-60,1960-04-02,2,1960,0,106,2
Obrey,Alf,03-Jun-12,1912-06-03,2,1912,0,106,1
Oliver,Gavin,06-Sep-62,1962-09-06,3,1962,0,106,1
Onyeali,Elkanah,07-Jun-39,1939-06-07,2,1939,0,106,1
Owen,Arthur,NA,NA,NA,1911,0,106,1
Owen,Billy,30-Jun-14,1914-06-30,2,1914,0,106,1
Oxtoby,Dick,05-Sep-39,1939-09-05,3,1939,0,106,1
Palios, Mark,09-Nov-52,1952-11-09,4,1952,0,106,1
Palios, Mark,09-Nov-52,1952-11-09,4,1952,0,106,2
Parnell,Frank,04-Nov-35,1935-11-04,4,1935,0,106,1
Parnell,Roy,08-Oct-43,1943-10-08,4,1943,0,106,1
Parry,Dave,11-Feb-48,1948-02-11,1,1948,0,106,1
Parry,Les,13-Nov-53,1953-11-13,4,1953,0,106,1
Payne,Albert,11-Nov-23,1923-11-11,4,1923,0,106,1
Payne,George,22-Aug-21,1921-08-22,3,1921,0,106,1
Pearson,Tich,NA,NA,4,1910,0,106,1
Pennington,James,NA,NA,2,1915,0,106,1
Peplow,Steve,08-Jan-49,1949-01-08,1,1949,0,106,1
Perfect,Frank,09-Mar-15,1915-03-09,1,1915,0,106,1
Phillips,Ernest,NA,NA,NA,1897,0,106,1
Philpotts, Dave,31-Mar-54,1954-03-31,1,1954,0,106,1
Philpotts, Dave,31-Mar-54,1954-03-31,1,1954,0,106,2
Philpotts,John,NA,NA,NA,NA,0,106,1
Pike,Martin,21-Oct-64,1964-10-21,4,1964,0,106,1
Platt,Dick,NA,NA,NA,NA,0,106,1
Platt,John,22-Aug-54,1954-08-22,3,1954,0,106,1
Pointon,Ray,06-Nov-47,1947-11-06,4,1947,0,106,1
Pollard,James,04-Jun-20,1920-06-04,2,1920,0,106,1
Poskett,Thomas,26-Dec-09,1909-12-26,4,1909,0,106,1
Postlewhite,Dennis,13-Oct-57,1957-10-13,4,1957,0,106,1
Powell,Neville,02-Sep-63,1963-09-02,3,1963,0,106,1
Prentice,John,19-Oct-98,1898-10-19,4,1898,0,106,1
Prescott,Frank,12-Aug-22,1922-08-12,3,1922,0,106,1
Price,Ken,25-Mar-39,1939-03-25,1,1939,0,106,1
Price,Walter,14-Feb-21,1921-02-14,1,1921,0,106,1
Pritchard,Joe,04-Sep-43,1943-09-04,3,1943,0,106,1
Pritchard,Ray,23-Jun-54,1954-06-23,2,1954,0,106,1
Proctor, Mark,30-Jan-61,1961-01-30,1,1961,0,106,1
Proctor, Mark,30-Jan-61,1961-01-30,1,1961,0,106,2
Proctor,Norman,11-May-96,1896-05-11,2,1896,0,106,1
Prosser,Neil,08-Mar-57,1957-03-08,1,1957,0,106,1
Rainford,Billy,26-Feb.92,1892-02-26,1,1892,0,106,1
Ratcliffe,Archie,30-Jan-93,1893-01-30,1,1893,0,106,1
Rees,Peter,05-May-32,1932-05-05,2,1932,0,106,1
Rice,Ron,13-Apr-23,1923-04-13,2,1923,0,106,1
Richards,Ernest,NA,NA,NA,NA,0,106,1
Richards,Percy,NA,NA,NA,1907,0,106,1
Ridding, Bill,04-Apr-11,1911-04-04,2,1911,0,106,1
Ridding, Bill,04-Apr-11,1911-04-04,2,1911,0,106,2
Ridgway,John,NA,NA,NA,NA,0,106,1
Riley,Alan,NA,NA,NA,NA,0,106,1
Rimmer,Ellis,02-Jan-07,1907-01-02,1,1907,0,106,1
Roberts,Billy,09-Jan-04,1904-01-09,1,1904,0,106,1
Roberts,Eddie,16-Nov-47,1947-11-16,4,1947,0,106,1
Roberts,Gerald,NA,NA,2,1908,0,106,1
Roberts,James,07-Jan-91,1891-01-07,1,1891,0,106,1
Roberts,Ronnie,14 Sep-42,1942-09-14,3,1942,0,106,1
Robertson,Teddie,19-Dec-35,1935-12-19,4,1935,0,106,1
Robertson,William,NA,NA,NA,NA,0,106,1
Robinson,Alfred,30-Jan-98,1898-01-30,1,1898,0,106,1
Robinson,James,08-Jan-98,1898-01-08,1,1898,0,106,1
Robinson,Liam,29-Dec-65,1965-12-29,4,1965,0,106,1
Rodaway,Billy,26-Sep-54,1954-09-26,3,1954,0,106,1
Rogers,Alan,03-Jan-77,1977-01-03,1,1977,0,106,1
Roper,William,NA,NA,2,1914,0,106,1
Rosenthal, Are,12-Oct-21,1921-10-12,4,1921,0,106,1
Rosenthal, Abe,12-Oct-21,1921-10-12,4,1921,0,106,2
Rosenthal, Abe,12-Oct-21,1921-10-12,4,1921,0,106,3
Rosenthal, Abe,12-Oct-21,1921-10-12,4,1921,0,106,4
Rothwell,Peter,NA,NA,2,1898,0,106,1
Rowe,Graham,28-Aug-45,1945-08-28,3,1945,0,106,1
Rowland,John,07-Apr-41,1941-04-07,2,1941,0,106,1
Rowles,Reginald,NA,NA,NA,NA,0,106,1
Rowley,Tony,19-Sep-29,1929-09-19,3,1929,0,106,1
Roy,Jack,23-Mar-14,1914-03-23,1,1914,0,106,1
Russell,Alex,21-Feb 44,1944-02-21,1,1944,0,106,1
Rutter,Edward,02-Jul-98,1898-07-02,3,1898,0,106,1
Salmon,Len,24-Jun-12,1912-06-24,2,1912,0,106,1
Sayer,Stan,02-Feb-95,1895-02-02,1,1895,0,106,1
Scott,George,25-Oct-44,1944-10-25,4,1944,0,106,1
Seasman,John,21-Feb-55,1955-02-21,1,1955,0,107,1
Seddon,Ben,05-Feb-52,1952-02-05,1,1952,0,107,1
Sewell,George,03-Jun-98,1898-06-03,2,1898,0,107,1
Sharkey,Bernard,25-Mar-94,1894-03-25,1,1894,0,107,1
Sharp,Alex,12-Nov-10,1910-11-12,4,1910,0,107,1
Shaw,Hugh,29-Apr-29,1929-04-29,2,1929,0,107,1
Shears,Bert,12-May-00,1900-05-12,2,1900,0,107,1
Sherlock,Harold,02-Feb-09,1909-02-02,1,1909,0,107,1
Shone,George,15-Feb-22,1922-02-15,1,1922,0,107,1
Siddall,Barry,12-Sep-54,1954-09-12,3,1954,0,107,1
Sille,Les,12-Apr-28,1928-04-12,2,1928,0,107,1
Sinclair,Nick,03-Jan-60,1960-01-03,1,1960,0,107,1
Sinclair, Roy,10-Dec-44,1944-12-10,4,1944,0,107,1
Sinclair, Roy,10-Dec-44,1944-12-10,4,1944,0,107,2
Sinclair,Willie,14-Oct-34,1934-10-14,4,1934,0,107,1
Smith,Derek,05-Jul-46,1946-07-05,3,1946,0,107,1
Smith,George,NA,NA,NA,NA,0,107,1
Smith,John,23-Jul-70,1970-07-23,3,1970,0,107,1
Smith,Reg,NA,NA,1,1916,0,107,1
Smith,William,NA,NA,NA,1915,1,107,1
Speakman,Sammy,27-Jan-34,1934-01-27,1,1934,0,107,1
Spence,James,NA,NA,NA,NA,0,107,1
Spencer,Reg,01-Dec-08,1908-12-01,4,1908,0,107,1
Spencer,Teddy,NA,NA,NA,NA,0,107,1
Spink,Tony,16-Nov-29,1929-11-16,4,1929,0,107,1
StJohn,Ian,07-Jun-38,1938-06-07,2,1938,0,107,1
Stanley,Graham,27-Jan-38,1938-01-27,1,1938,0,107,1
Steel,Jim,04-Dec-59,1959-12-04,4,1959,0,107,1
Steele,Percy,26-Dec-23,1923-12-26,4,1923,0,107,1
Stephens,Terry,05-Nov-35,1935-11-05,4,1935,0,107,1
Stevens,Dennis,30-Nov-33,1933-11-30,4,1933,0,107,1
Stevens, Gary,27-Mar-63,1963-03-27,1,1963,0,107,1
Stevens, Gary,27-Mar-63,1963-03-27,1,1963,0,107,2
Stevenson,Willie,26-Oct-39,1939-10-26,4,1939,0,107,1
Storton,Stan,05-Jan-39,1939-01-05,1,1939,0,107,1
Storton,Trevor,26-Nov-49,1949-11-26,4,1949,0,107,1
Stott,Tom,NA,NA,NA,NA,0,107,1
Stuart,Eddie,12-May-31,1931-05-12,2,1931,0,107,1
Stuart,Tom,25-Oct-93,1893-10-25,4,1893,0,107,1
Sugden,Arthur,NA,NA,NA,1894,1,107,1
Tansey,Gerard,15-Oct-33,1933-10-15,4,1933,0,107,1
Teale,Shaun,10-Mar-64,1964-03-10,1,1964,0,107,1
Temple, Ernest,NA,NA,2,1910,0,107,1
Temple, Ernest,NA,NA,2,1910,0,107,2
Thirkell,Percy,13-Feb-00,1900-02-13,1,1900,0,107,1
Thomas,John,05-Aug-58,1958-08-05,3,1958,0,107,1
Thomas,Kevin,13-Aug-45,1945-08-13,3,1945,0,107,1
Thomas,Robert,NA,NA,4,1911,0,107,1
Thomas,Stanley,05-Sep-19,1919-09-05,3,1919,0,107,1
Thomas,Tony,12-Jul-71,1971-07-12,3,1971,0,107,1
Thomas,William,16-Mar-06,1906-03-16,1,1906,0,107,1
Thompson,Alex,08-Dec-17,1917-12-08,4,1917,0,107,1
Thompson,Bob,27-Feb-90,1890-02-27,1,1890,0,107,1
Thompson,Robert,NA,NA,NA,NA,0,107,1
Thorn,Andy,12-Nov-66,1966-11-12,4,1966,0,107,1
Thorpe,Adrian,25-Nov-63,1963-11-25,4,1963,0,107,1
Thorpe,Andy,15-Sep-60,1960-09-15,3,1960,0,107,1
Tilston,Tommy,19-Feb-26,1926-02-19,1,1926,0,107,1
Tong,Robert,NA,NA,2,1911,0,107,1
Train,Ray,10-Feb-51,1951-02-10,1,1951,0,107,1
Travis,Harry,26-Dec-11,1911-12-26,4,1911,0,107,1
Tucker,Charles,NA,NA,NA,1917,1,107,1
Twist,Frank,02-Nov-40,1940-11-02,4,1940,0,107,1
Tynan,Bobby,07-Dec-55,1955-12-07,4,1955,0,107,1
Urmson,Fred,26-Nov-07,1907-11-26,4,1907,0,107,1
Veitch,Tommy,16-Oct-49,1949-10-16,4,1949,0,107,1
Vickers,Steve,13-Oct-67,1967-10-13,4,1967,0,107,1
Walkden,Edgar,NA,NA,NA,NA,0,107,1
Walls,Arthur,15-Jan-31,1931-01-15,1,1931,0,107,1
Waring, Pongo,12-Oct-06,1906-10-12,4,1906,0,107,1
Waring, Pongo,12-Oct-06,1906-10-12,4,1906,0,107,2
Warren,Emrys,NA,NA,NA,NA,0,107,1
Warriner,Steve,18-Dec-58,1958-12-18,4,1958,0,107,1
Wassell,Gilbert,09-Apr-10,1910-04-09,2,1910,0,107,1
Waterston,Archie,13-Oct-02,1902-10-13,4,1902,0,107,1
Watson,Jack,NA,NA,NA,1912,1,107,1
Watts,Farewell,10-Mar-04,1904-03-10,1,1904,0,107,1
Webb,John,10-Feb-52,1952-02-10,1,1952,0,107,1
Weir,Jimmy,12-Apr-39,1939-04-12,2,1939,0,107,1
Wellings, Barry,10-Jun-58,1958-06-10,2,1958,0,107,1
Wellings, Barry,10-Jun-58,1958-06-10,2,1958,0,107,2
West,Gordon,24-Apr-43,1943-04-24,2,1943,0,107,1
Westlake,Brian,19-Sep-43,1943-09-19,3,1943,0,107,1
Wheeler,Johnny,26-Jul-28,1928-07-26,3,1928,0,107,1
White,Bob,05-Dec-01,1901-12-05,4,1901,0,107,1
Whitehurst,Bert,22-Jun-98,1898-06-22,2,1898,0,107,1
Whittingham,Steve,04-Feb-62,1962-02-04,1,1962,0,107,1
Whyte,Crawford,04-Dec-07,1907-12-04,4,1907,0,107,1
Wilde,Leslie,NA,NA,NA,NA,0,108,1
Wilkinson,Barry,16-Jun-35,1935-06-16,2,1935,0,108,1
Williams, Gary,14-May-59,1959-05-14,2,1959,0,108,1
Williams, Gary,14-May-59,1959-05-14,2,1959,0,108,2
Williams,Graham,31-Dec-36,1936-12-31,4,1936,0,108,1
Williams,Jackie,01-Aug-29,1929-08-01,3,1929,0,108,1
Williams,John,03-Oct-60,1960-10-03,4,1960,0,108,1
Williams,Keith,14-Jan-37,1937-01-14,1,1937,0,108,1
Williams,Ray,30-Dec-30,1930-12-30,4,1930,0,108,1
Williams,Tommy,01-Aug-29,1929-08-01,3,1929,0,108,1
Williamson,James,16-Jun-26,1926-06-16,2,1926,0,108,1
Williamson,Stewie,07-Apr-26,1926-04-07,2,1926,0,108,1
Wilson,Bob,08-Sep-28,1928-09-08,3,1928,0,108,1
Winn,Edward,NA,NA,NA,NA,0,108,1
Woan,Don,07-Nov-27,1927-11-07,4,1927,0,108,1
Wood,Albert,25-Apr-03,1903-04-25,2,1903,0,108,1
Wood,Archie,18-Mar-26,1926-03-18,1,1926,0,108,1
Woodin,Steve,06-Jan-55,1955-01-06,1,1955,0,108,1
Woods,Billy,24-Oct-73,1973-10-24,4,1973,0,108,1
Woods,Ray,07-Jun-65,1965-06-07,2,1965,0,108,1
Woodward,Billy,NA,NA,NA,NA,0,108,1
Worthington,Frank,23-Nov-48,1948-11-23,4,1948,0,108,1
Yardley,George,08-Oct-42,1942-10-08,4,1942,0,108,1
Yates,Wilf,NA,NA,NA,1898,0,108,1
Yeats,Ron,15-Nov-37,1937-11-15,4,1937,0,108,1
Young,Tommy,24-Dec-47,1947-12-24,4,1947,0,108,1
